id,is_forced,payment_type,paid,paid_admin,paid_reason,delivery_fee,insurance_fee,level_discount,coupon_discount,no,driver_id,status,profit,distance,duration,pu_ata,pu_atd,pu_coord,pu_place,pu_place_id,pu_address,do_ata,do_coord,do_place,do_place_id,do_address,created,updated,accepted,completed,canceled,canceled_by,canceled_reason,off_course_reason,off_course_coord,currency,rating,rated,vehicle_type,vehicle_id,platform_fee,price
501cff03-8f36-4877-a638-8eb832a94ac0,0,qr,11:48.4,,,17000,1000,0,0,M156924113017750,69ebf202-c425-4a12-9788-1ba930338b70,completed,17000,2017,288,00:10.7,00:10.7,POINT (102.59896656498313 17.96496431088027),XH8X+3JV,ChIJ1VS2topoJDERUUoDiHKrHWY,"XH8X+3JV, ຖະໜົນເຈົ້າຟ້າງຸ່ມ, ວຽງຈັນ, ປະເທດລາວ",08:53.0,POINT (102.58952854201198 17.971942625331884),XHCQ+WRP,ChIJNa0n_kFpJDERO6JhWw5U3xo,"XHCQ+WRP, ຖະໜົນສຸພານຸວົງ, ວຽງຈັນ, ປະເທດລາວ",00:07.0,11:53.1,00:08.4,11:53.1,,,,,,LAK,2,12:29.9,smalltuktuk,31c56764-8db8-4c98-a170-178b2f4dc626,1000,18000
021d6df3-93de-419c-a6c7-183436f14ee1,0,qr,36:20.6,,,80000,1000,0,0,M266124113053915,0fa1e881-908b-4d7e-ac0c-270379e93f8e,completed,80000,10504,1500,02:30.3,02:30.3,POINT (102.6197283 17.971165),XJC9+8X8,ChIJEYMRy3hoJDER0_j0gyHFYDU,"XJC9+8X8, ວຽງຈັນ, ປະເທດລາວ",35:37.7,POINT (102.62969730421901 18.036034424755517),2JPH+8JM,ChIJrXrTRjZdJDERnr3EA9Ydvg8,"2JPH+8JM, ວຽງຈັນ, ປະເທດລາວ",02:24.8,36:25.2,02:27.8,36:25.2,,,,,,LAK,5,23:31.4,bigtuktuk,d3448f6b-27fd-4d23-a678-929ca841abf5,1000,81000
de0ce321-af24-4f43-b7c0-3e47d35e865f,0,qr,26:23.5,,,137000,0,0,0,M684784113020978,416745f1-b482-483c-bd42-ac0f97d643c5,completed,137000,10522,1052,17:50.7,17:50.7,POINT (102.5184615701437 17.984126099496514),XGM9+65,ChIJUUbNBjBqJDERBCDds7CE5dg,老挝永珍XGM9+65,24:48.9,POINT (102.572497 17.99184899999999),月亮酒吧uranusnlghtclub,ChIJgftTqHVpJDERd_ZisRcE5VQ,"老挝 ວຽງຈັນ, LA 首都万象西阔达蓬县 老挝首都万象西阔达蓬县巴趟村",03:28.2,27:43.8,03:31.2,27:43.8,,,,ຜູ້ໂດຍສານຮ້ອງຂໍ,POINT (102.56516487843682 17.97242411517291),LAK,5,07:55.5,evcar,dcc48c5e-e30e-4bae-9501-2d71c3403372,0,137000
e797f9ef-1562-4f06-a447-9ec59413fe86,0,qr,51:57.4,,,71000,1000,0,0,M174574113014300,bf9f1a65-a6b1-4d06-8f46-13ce1d622542,completed,71000,9188,1312,01:01.3,01:01.3,POINT (102.61242461915573 18.023788452148438),2JF7+P2,ChIJSWuNLrBCJDERX5xiMR_aGUg,"2JF7+P2, ວຽງຈັນ, ປະເທດລາວ",50:47.9,POINT (102.6331035 17.9757058),บ้านพักที่ลาว,ChIJpeywYQBnJDERnFFztwkJa9E,"Unit 20 Ban Sivilay ວຽງຈັນ, ປະເທດລາວ",04:53.2,52:01.3,04:56.5,52:01.3,,,,ຜູ້ໂດຍສານຮ້ອງຂໍ,POINT (102.5466679 18.0189876),LAK,5,54:04.4,bigtuktuk,a4c279b0-054e-4268-8863-9159e887a503,1000,72000
267f322c-b886-4be5-b843-e27857cf9e60,0,qr,,,,35000,1000,0,0,M249004113064971,c09008e8-8757-4425-8b50-14badaf63645,canceled,0,5281,754,,,POINT (102.65034024054962 17.9577277733868),XM52+54,ChIJ0Uwx9ktmJDERb_wRhFF1tv8,XM52+54 เวียงจันทน์ ลาว,,POINT (102.6097177 17.9667582),Family Boutique Hotel,ChIJiYVstGJoJDERZ1rA1uLbkIc,"XJ85+PV4, Pangkham Rd, Vientiane, ลาว",04:54.3,05:03.3,04:56.6,,05:03.3,driver,ຂາດການຕິດຕໍ່ກັບລູກຄ້າ,,,LAK,5,,bigtuktuk,5ddc76cf-a07d-4d3c-b433-89178fb18083,1000,36000
84a23cca-9d20-41d7-bc03-3d3a4f20cb64,0,qr,,,,120000,1000,0,0,M673204113064494,900a953f-5912-4079-8086-7ce31947a789,canceled,0,16132,2304,,,POINT (102.63211225259802 18.007354736328125),Television National Lao,ChIJOzuaIYBnJDERoo4NyEHvhyU,"2J5M+286 Television National Lao, ວຽງຈັນ, ປະເທດລາວ",,POINT (102.5307635 18.0171142),ພອຍໄພລິນ phoyphailin restaurant,ChIJOfFj5P9pJDER2XGrPe5RYig,"Nongteng Neua, Hom 23, Sikhotabong 01010, ປະເທດລາວ",05:22.3,07:31.1,05:24.5,,07:31.1,client,ຕ້ອງການທີ່ຈະປ່ຽນສະຖານທີ່,,,LAK,5,,bigtuktuk,7b5e240e-3e54-4389-a7f4-4a7f403f98ed,1000,121000
cc3eaa16-9be2-4c37-a774-539a243b323e,0,qr,,,,38000,1000,0,0,M919214113049792,e686caa6-ea36-48f2-aade-14a384d081e0,canceled,0,5878,839,,,POINT (102.58722938597202 17.97899682896434),XHHP+HV3,ChIJew5w_09oJDERuVmEUxvSuyg,"XHHP+HV3, ວຽງຈັນ, ປະເທດລາວ",,POINT (102.6260315 17.9910105),Osca,ChIJvWwqbtZnJDER7_nXbXaKbAA,"XJRG+CC3, ຮ່ອມ 28, ວຽງຈັນ, ປະເທດລາວ",07:47.0,10:49.9,07:50.7,,10:49.9,driver,ບໍ່ສາມາດໄປຮັບຜູ້ໂດຍສານໄດ້,,,LAK,5,,bigtuktuk,d79d2255-38aa-4b06-a6ff-e19a22b3c86d,1000,39000
b160b266-5659-4bd0-838f-872a62a2c6f5,0,qr,,,,122000,1000,0,0,M148614113061132,8859b66b-e1a0-4fa0-bdc3-613e47cd0683,canceled,0,16444,2349,,,POINT (102.63224620286948 18.007553100585938),Television National Lao,ChIJCXRtzflnJDERfI5KFNgf6_w,"2J5M+286 Television National Lao, ວຽງຈັນ, ປະເທດລາວ",,POINT (102.5307635 18.0171142),ພອຍໄພລິນ phoyphailin restaurant,ChIJOfFj5P9pJDER2XGrPe5RYig,"Nongteng Neua, Hom 23, Sikhotabong 01010, ປະເທດລາວ",07:54.2,10:00.1,07:56.5,,10:00.1,client,Hero(ຫຼື ຄົນຂັບ) ຂໍໃຫ້ຍົກເລີກ,,,LAK,5,,smalltuktuk,b35ff967-0e6f-46ee-940a-77e4d860f1db,1000,123000
62a12ef0-e3e1-4885-9cc9-4fb8917ceeaf,0,qr,10:31.6,,,120000,1000,0,0,M876544113013346,8d2ea6de-7928-41fc-a25e-18dc52149229,completed,120000,16126,2303,20:04.5,20:04.5,POINT (102.63203876759624 18.007354736328125),Television National Lao,ChIJOzuaIYBnJDERoo4NyEHvhyU,"2J5M+286 Television National Lao, ວຽງຈັນ, ປະເທດລາວ",56:23.3,POINT (102.5307635 18.0171142),ພອຍໄພລິນ phoyphailin restaurant,ChIJOfFj5P9pJDER2XGrPe5RYig,"Nongteng Neua, Hom 23, Sikhotabong 01010, ປະເທດລາວ",10:19.8,11:14.1,10:22.4,11:14.1,,,,ຜູ້ໂດຍສານຮ້ອງຂໍ,POINT (102.54182286450066 18.002687273885485),LAK,5,,bigtuktuk,f5c1e97a-4b41-44ba-80e0-b5649c18ca42,1000,121000
cff3e225-0a2f-4855-8a40-4ac7488dd2a4,0,qr,17:04.2,,,21000,1000,0,0,M822194113077620,02155397-1922-410e-b776-ea4ce6452f3e,completed,21000,2713,387,10:34.5,10:34.5,POINT (102.6091783 17.959515),XJ56+J47,ChIJHQlG-IVoJDERcdSV4tAGyJo,"XJ56+J47, ວຽງຈັນ, ປະເທດລາວ",16:27.9,POINT (102.61840419843793 17.941069419896817),WJR9+F5W,ChIJFYxh2qFoJDER-CHjm6mu6PU,"WJR9+F5W, ຖະໜົນທ່າເດື່ອ, ວຽງຈັນ, ປະເທດລາວ",10:20.4,17:12.5,10:24.8,17:12.5,,,,,,LAK,5,27:16.3,bigtuktuk,5961e14f-4bbf-4c49-8eea-95a3fef87680,1000,22000
